category,confidence,duplicate_flag,urgent_flag,description_length,severity
Water,0.8197,1,0,38,High
Other,0.6375,0,0,34,Moderate
Electricity,0.8682,0,0,29,High
Garbage,0.9461,1,0,41,Moderate
Garbage,0.711,1,0,37,Moderate
Water,0.6093,0,0,32,Moderate
Electricity,0.5133,0,0,35,Low
Road,0.8249,0,1,41,High
Other,0.6102,0,0,23,Moderate
Other,0.9047,1,0,32,Moderate
Electricity,0.9029,0,0,36,High
Road,0.6701,0,1,30,High
Road,0.9786,0,1,33,High
Road,0.5464,1,0,36,Low
Other,0.9237,0,0,41,Moderate
Road,0.9036,0,1,34,High
Other,0.7681,0,0,29,Moderate
Electricity,0.6893,0,0,44,Moderate
Other,0.9147,0,0,41,Moderate
Water,0.9309,0,1,37,High
Road,0.8523,1,0,32,High
Electricity,0.6139,0,0,45,Moderate
Garbage,0.5399,0,0,27,Low
Water,0.5505,0,1,43,High
Electricity,0.8178,0,0,42,High
Water,0.6851,0,0,47,Moderate
Electricity,0.6335,0,0,34,Moderate
Garbage,0.824,0,0,42,Moderate
Garbage,0.5856,0,0,33,Low
Garbage,0.5817,0,0,42,Low
Water,0.9948,0,0,29,High
Road,0.7785,0,0,38,Moderate
Other,0.9214,0,0,33,Moderate
Electricity,0.6145,1,0,34,Moderate
Water,0.6577,0,0,41,Moderate
Garbage,0.6055,0,1,43,High
Road,0.9382,0,1,47,High
Other,0.8277,0,0,34,Moderate
Electricity,0.9573,0,0,42,High
Garbage,0.6324,0,0,48,Moderate
Electricity,0.7807,0,1,44,High
Water,0.7923,0,1,41,High
Road,0.6997,0,0,30,Moderate
Garbage,0.9988,0,0,31,Moderate
Other,0.5455,1,0,36,Low
Garbage,0.5548,0,0,34,Low
Other,0.896,0,0,44,Moderate
Garbage,0.5318,0,0,34,Low
Electricity,0.9981,0,1,39,High
Electricity,0.9855,0,0,40,High
Other,0.5057,0,0,43,Low
Water,0.8409,0,0,41,High
Electricity,0.6334,0,0,44,Moderate
Road,0.5558,0,0,28,Low
Other,0.7269,0,0,27,Moderate
Other,0.9379,0,0,40,Moderate
Other,0.7503,0,0,32,Moderate
Electricity,0.9563,0,0,42,High
Garbage,0.6492,0,0,36,Moderate
Other,0.8045,0,0,31,Moderate
Road,0.8813,0,0,32,High
Electricity,0.8893,0,0,35,High
Water,0.5003,0,1,42,High
Water,0.5097,0,0,31,Low
Road,0.9394,0,1,36,High
Road,0.6538,1,0,29,Moderate
Garbage,0.939,0,0,33,Moderate
Electricity,0.5428,0,0,22,Low
Other,0.5346,0,0,35,Low
Electricity,0.8829,1,0,32,High
Other,0.7376,0,0,33,Moderate
Other,0.6325,0,0,41,Moderate
Water,0.7116,0,0,39,Moderate
Water,0.7696,0,0,32,Moderate
Electricity,0.6006,0,0,30,Moderate
Water,0.9976,0,1,42,High
Road,0.7191,0,0,39,Moderate
Electricity,0.5605,0,0,37,Low
Road,0.669,0,0,32,Moderate
Garbage,0.6151,0,0,31,Moderate
Garbage,0.5355,0,0,33,Low
Garbage,0.6145,0,0,30,Moderate
Electricity,0.9298,1,0,27,High
Road,0.619,0,1,37,High
Other,0.6071,1,0,28,Moderate
Other,0.9678,0,0,31,Moderate
Garbage,0.7363,0,0,33,Moderate
Road,0.9037,0,0,28,High
Garbage,0.5485,0,0,44,Low
Water,0.7118,0,0,33,Moderate
Garbage,0.8645,0,0,48,Moderate
Garbage,0.9921,1,0,32,Moderate
Road,0.7013,0,0,27,Moderate
Road,0.9308,0,0,29,High
Other,0.5951,0,0,30,Low
Road,0.8109,0,0,51,High
Road,0.6249,0,0,27,Moderate
Water,0.7216,0,0,42,Moderate
Electricity,0.7752,1,1,39,High
Electricity,0.9996,0,0,31,High
Electricity,0.9845,0,0,31,High
Garbage,0.9243,0,0,29,Moderate
Garbage,0.7428,0,0,27,Moderate
Other,0.7005,1,0,36,Moderate
Water,0.6895,0,0,33,Moderate
Electricity,0.6326,0,0,41,Moderate
Garbage,0.7275,0,0,47,Moderate
Other,0.9787,0,0,33,Moderate
Road,0.7779,0,0,41,Moderate
Garbage,0.5774,0,0,31,Low
Electricity,0.9844,0,0,34,High
Electricity,0.7711,0,0,31,Moderate
Garbage,0.5286,0,0,49,Low
Other,0.7514,0,0,38,Moderate
Electricity,0.5787,0,1,40,High
Water,0.5401,0,0,29,Low
Other,0.7975,0,0,37,Moderate
Road,0.6176,1,1,32,High
Road,0.9451,0,0,41,High
Garbage,0.7973,0,0,31,Moderate
Electricity,0.7096,0,0,33,Moderate
Water,0.7614,0,1,27,High
Water,0.6021,0,0,43,Moderate
Road,0.6193,0,1,35,High
Road,0.8358,0,1,32,High
Other,0.6581,0,0,34,Moderate
Water,0.5363,0,0,32,Low
Water,0.9992,0,0,40,High
Electricity,0.6366,0,1,51,High
Other,0.6326,0,0,30,Moderate
Garbage,0.9404,0,0,42,Moderate
Garbage,0.6848,0,0,43,Moderate
Water,0.9169,0,0,33,High
Water,0.8058,0,0,35,High
Other,0.827,1,0,45,Moderate
Other,0.9086,0,0,35,Moderate
Garbage,0.8317,0,0,29,Moderate
Road,0.5671,1,0,35,Low
Garbage,0.5535,0,0,36,Low
Electricity,0.6362,0,0,35,Moderate
Garbage,0.8588,0,0,34,Moderate
Other,0.8171,0,0,31,Moderate
Road,0.7443,0,0,34,Moderate
Other,0.9231,1,0,45,Moderate
Other,0.7118,0,0,31,Moderate
Electricity,0.5018,0,0,33,Low
Garbage,0.8186,0,0,29,Moderate
Garbage,0.8706,0,0,26,Moderate
Garbage,0.7138,1,0,46,Moderate
Road,0.5376,0,1,40,High
Water,0.952,0,1,33,High
Water,0.9173,0,1,37,High
Electricity,0.574,1,0,42,Low
Water,0.6541,0,1,34,High
Garbage,0.8981,0,0,32,Moderate
Road,0.9495,0,0,31,High
Water,0.6248,1,1,40,High
Electricity,0.8901,0,0,39,High
Water,0.7032,0,1,43,High
Electricity,0.5773,0,0,37,Low
Electricity,0.9323,0,0,43,High
Garbage,0.9054,0,0,33,Moderate
Garbage,0.5124,0,0,38,Low
Electricity,0.6661,0,0,43,Moderate
Electricity,0.9011,0,1,40,High
Water,0.9054,0,0,26,High
Water,0.8937,1,0,43,High
Electricity,0.9361,0,0,33,High
Electricity,0.6112,0,0,32,Moderate
Other,0.7302,0,0,31,Moderate
Road,0.9977,0,1,52,High
Electricity,0.5118,0,0,39,Low
Electricity,0.6641,0,1,37,High
Water,0.9834,0,0,27,High
Water,0.8207,0,0,29,High
Electricity,0.9906,0,0,40,High
Electricity,0.9696,1,0,40,High
Other,0.9852,0,0,31,Moderate
Other,0.9813,0,0,35,Moderate
Other,0.5542,0,1,42,High
Road,0.8643,0,0,31,High
Garbage,0.8031,0,0,46,Moderate
Road,0.6926,0,0,35,Moderate
Water,0.6274,0,0,33,Moderate
Electricity,0.5008,0,0,40,Low
Water,0.7692,0,0,42,Moderate
Garbage,0.871,0,0,33,Moderate
Road,0.6821,1,0,22,Moderate
Water,0.8321,0,1,41,High
Garbage,0.657,0,0,36,Moderate
Garbage,0.8599,0,0,40,Moderate
Other,0.6546,0,0,42,Moderate
Water,0.7012,0,0,32,Moderate
Road,0.5636,0,1,38,High
Garbage,0.9702,0,0,34,Moderate
Garbage,0.9514,0,0,40,Moderate
Electricity,0.6505,0,0,28,Moderate
Water,0.5002,0,1,38,High
Garbage,0.7149,0,0,36,Moderate
Road,0.8274,0,0,37,High
Electricity,0.7211,0,0,31,Moderate
Garbage,0.7366,0,0,34,Moderate
Other,0.898,0,0,21,Moderate
Other,0.5424,0,0,36,Low
Water,0.8165,0,0,41,High
Other,0.9092,0,0,25,Moderate
Other,0.8364,0,0,28,Moderate
Garbage,0.5996,1,0,39,Low
Road,0.6224,0,0,26,Moderate
Water,0.9249,1,1,34,High
Road,0.7072,0,0,33,Moderate
Electricity,0.5972,0,0,34,Low
Electricity,0.7472,0,0,32,Moderate
Road,0.828,1,1,45,High
Other,0.8755,0,0,43,Moderate
Road,0.5533,0,0,28,Low
Garbage,0.5879,0,0,40,Low
Water,0.759,1,1,44,High
Garbage,0.6246,0,0,49,Moderate
Electricity,0.7282,0,0,26,Moderate
Garbage,0.8338,0,0,31,Moderate
Road,0.7977,0,0,42,Moderate
Electricity,0.9457,0,0,46,High
Water,0.8596,0,0,42,High
Road,0.9153,0,0,34,High
Other,0.9486,0,0,40,Moderate
Garbage,0.7373,0,0,38,Moderate
Other,0.6236,0,0,42,Moderate
Other,0.8829,0,0,30,Moderate
Electricity,0.8134,0,0,39,High
Road,0.5387,0,0,37,Low
Garbage,0.6359,0,0,37,Moderate
Road,0.7701,1,0,34,Moderate
Other,0.6156,0,0,40,Moderate
Other,0.8532,1,0,28,Moderate
Garbage,0.7038,0,0,27,Moderate
Other,0.7079,0,1,36,High
Other,0.7101,0,0,29,Moderate
Water,0.792,0,0,39,Moderate
Garbage,0.9284,0,0,39,Moderate
Other,0.6902,1,0,36,Moderate
Garbage,0.6759,0,0,39,Moderate
Garbage,0.9267,0,0,41,Moderate
Electricity,0.7095,0,0,22,Moderate
Garbage,0.7731,0,0,25,Moderate
Electricity,0.6103,0,0,35,Moderate
Other,0.7179,1,0,27,Moderate
Electricity,0.6681,0,0,42,Moderate
Electricity,0.7022,0,0,35,Moderate
Electricity,0.7337,1,0,34,Moderate
Garbage,0.8111,1,0,30,Moderate
Road,0.697,0,0,46,Moderate
Other,0.5136,0,0,38,Low
Other,0.5678,0,0,33,Low
Garbage,0.5251,0,0,28,Low
Road,0.6058,0,1,34,High
Garbage,0.8806,0,0,37,Moderate
Road,0.876,0,0,43,High
Road,0.6261,1,0,49,Moderate
Electricity,0.5097,0,0,42,Low
Electricity,1.0,0,0,40,High
Road,0.8251,0,0,40,High
Water,0.8259,0,0,30,High
Water,0.9748,0,0,30,High
Road,0.5102,0,0,47,Low
Road,0.5631,0,0,38,Low
Garbage,0.782,0,0,35,Moderate
Electricity,0.8497,0,0,38,High
Water,0.5839,0,0,46,Low
Garbage,0.874,1,0,27,Moderate
Electricity,0.9097,0,1,47,High
Road,0.554,1,0,21,Low
Electricity,0.656,0,0,50,Moderate
Garbage,0.9791,0,0,37,Moderate
Garbage,0.8575,1,0,35,Moderate
Road,0.8453,0,1,45,High
Road,0.551,0,0,33,Low
Water,0.9251,0,0,30,High
Other,0.5605,0,0,40,Low
Road,0.8913,0,1,33,High
Road,0.7142,0,0,46,Moderate
Electricity,0.753,0,0,42,Moderate
Garbage,0.9248,0,0,31,Moderate
Water,0.5528,0,0,41,Low
Road,0.8178,0,1,47,High
Water,0.8537,0,0,31,High
Garbage,0.8669,0,0,31,Moderate
Water,0.635,0,0,30,Moderate
Water,0.7691,0,1,32,High
Garbage,0.7178,0,0,48,Moderate
Road,0.6342,0,0,30,Moderate
Other,0.9154,1,0,38,Moderate
Water,0.9408,0,1,39,High
Electricity,0.7324,0,1,44,High
Other,0.6895,1,0,25,Moderate
Road,0.9255,0,0,43,High
Electricity,0.6061,0,0,28,Moderate
Other,0.6702,0,0,25,Moderate
Electricity,0.8506,0,0,47,High
Garbage,0.5051,0,0,41,Low
Other,0.5428,0,0,37,Low
Electricity,0.7443,0,0,46,Moderate
Water,0.8453,0,1,34,High
Water,0.7454,0,0,31,Moderate
Electricity,0.5465,0,0,26,Low
Road,0.8459,0,0,43,High
Water,0.7908,0,0,37,Moderate
Water,0.7655,0,0,29,Moderate
Water,0.873,0,0,46,High
Water,0.8514,0,0,32,High
Garbage,0.6257,1,0,35,Moderate
Water,0.5963,1,0,33,Low
Garbage,0.7679,0,0,40,Moderate
Electricity,0.5926,0,0,45,Low
Garbage,0.7421,0,0,34,Moderate
Water,0.9883,0,0,34,High
Water,0.6415,1,0,36,Moderate
Water,0.5971,0,0,38,Low
Garbage,0.5897,1,0,46,Low
Garbage,0.7671,0,0,40,Moderate
Water,0.9871,0,1,42,High
Water,0.8487,1,1,40,High
Road,0.9342,0,0,34,High
Road,0.9364,0,0,39,High
Other,0.7347,0,0,33,Moderate
Other,0.5922,1,0,33,Low
Garbage,0.9705,0,0,34,Moderate
Garbage,0.9111,0,0,44,Moderate
Other,0.537,0,0,35,Low
Electricity,0.5268,1,0,38,Low
Water,0.7814,0,1,41,High
Electricity,0.997,1,0,34,High
Electricity,0.8822,0,0,36,High
Water,0.8954,0,0,34,High
Other,0.7613,0,0,37,Moderate
Road,0.7214,0,0,29,Moderate
Road,0.995,0,0,37,High
Garbage,0.8105,0,0,42,Moderate
Water,0.87,0,0,44,High
Water,0.6039,0,0,38,Moderate
Other,0.8302,0,0,32,Moderate
Other,0.5869,1,0,41,Low
Road,0.5013,0,0,35,Low
Garbage,0.7969,0,0,31,Moderate
Water,0.6157,0,0,22,Moderate
Garbage,0.8515,0,0,40,Moderate
Other,0.8437,0,0,44,Moderate
Water,0.8939,0,0,35,High
Road,0.8306,0,1,42,High
Water,0.7126,0,0,36,Moderate
Electricity,0.8238,0,0,34,High
Garbage,0.9133,1,0,29,Moderate
Garbage,0.583,0,0,43,Low
Electricity,0.8745,0,1,41,High
Other,0.6443,1,0,30,Moderate
Water,0.8443,0,1,38,High
Water,0.9713,0,0,32,High
Other,0.7469,1,0,32,Moderate
Garbage,0.5199,0,0,39,Low
Water,0.6612,0,0,40,Moderate
Electricity,0.5457,0,0,48,Low
Water,0.918,0,1,42,High
Electricity,0.9754,0,0,34,High
Electricity,0.8361,0,0,34,High
Road,0.5201,0,0,28,Low
Water,0.7353,0,0,30,Moderate
Other,0.958,0,0,26,Moderate
Road,0.7927,0,0,49,Moderate
Other,0.7459,1,0,42,Moderate
Other,0.674,0,0,39,Moderate
Road,0.8351,0,1,27,High
Other,0.6649,0,0,32,Moderate
Water,0.6441,0,1,39,High
Water,0.9068,0,0,35,High
Road,0.7274,0,0,34,Moderate
Other,0.6616,0,0,35,Moderate
Electricity,0.7021,0,1,41,High
Water,0.9941,0,0,30,High
Road,0.7713,0,0,31,Moderate
Road,0.5938,0,1,35,High
Other,0.8782,0,0,32,Moderate
Other,0.88,0,0,40,Moderate
Water,0.7746,0,0,43,Moderate
Electricity,0.7191,0,0,41,Moderate
Water,0.5607,0,1,32,High
Water,0.8044,0,1,42,High
Garbage,0.5792,0,0,30,Low
Road,0.7761,1,0,38,Moderate
Road,0.9961,0,0,40,High
Road,0.7307,1,1,37,High
Garbage,0.9161,0,0,41,Moderate
Garbage,0.8583,0,0,36,Moderate
Other,0.6367,0,0,32,Moderate
Road,0.9901,0,0,39,High
Other,0.7756,0,0,50,Moderate
Electricity,0.9609,0,0,30,High
Water,0.9397,0,1,40,High
Garbage,0.6381,0,0,35,Moderate
Electricity,0.7075,0,0,33,Moderate
Electricity,0.7539,0,0,41,Moderate
Other,0.6414,0,0,30,Moderate
Garbage,0.7935,0,0,42,Moderate
Water,0.7448,1,0,39,Moderate
Electricity,0.7693,0,0,27,Moderate
Electricity,0.776,0,0,30,Moderate
Road,0.7277,0,0,37,Moderate
Electricity,0.5943,0,1,46,High
Water,0.7859,0,0,37,Moderate
Other,0.8878,1,0,44,Moderate
Road,0.8724,0,0,41,High
Electricity,0.9057,0,0,27,High
Other,0.8318,0,0,33,Moderate
Garbage,0.9904,0,0,33,Moderate
Road,0.5185,0,0,33,Low
Other,0.7951,0,1,36,High
Water,0.9371,0,1,45,High
Electricity,0.763,0,0,36,Moderate
Water,0.8612,0,0,33,High
Garbage,0.8274,0,0,31,Moderate
Road,0.7347,0,1,28,High
Garbage,0.6693,0,0,30,Moderate
Other,0.8249,0,0,31,Moderate
Other,1.0,0,0,51,Moderate
Electricity,0.69,0,0,49,Moderate
Other,0.8594,0,0,21,Moderate
Road,0.9362,1,1,39,High
Electricity,0.5342,0,0,42,Low
Water,0.9605,0,0,33,High
Electricity,0.8734,0,0,35,High
Other,0.5492,0,0,44,Low
Other,0.9363,0,0,34,Moderate
Road,0.847,0,0,28,High
Garbage,0.523,0,0,35,Low
Road,0.6467,0,0,36,Moderate
Road,0.5728,0,0,33,Low
Road,0.883,0,1,51,High
Other,0.585,1,0,27,Low
Road,0.9354,0,0,37,High
Water,0.6204,0,0,36,Moderate
Electricity,0.5716,0,0,29,Low
Road,0.627,0,0,43,Moderate
Other,0.5047,0,0,38,Low
Electricity,0.9506,0,0,39,High
Water,0.679,0,0,53,Moderate
Road,0.6728,0,0,36,Moderate
Road,0.8195,0,0,31,High
Garbage,0.625,0,0,23,Moderate
Road,0.5996,0,0,36,Low
Water,0.7416,0,1,38,High
Other,0.786,0,0,26,Moderate
Electricity,0.9963,0,0,37,High
Road,0.989,0,0,30,High
Electricity,0.7372,0,1,51,High
Garbage,0.8429,0,0,40,Moderate
Other,0.5245,0,0,29,Low
Water,0.7484,0,0,47,Moderate
Electricity,0.6431,0,0,40,Moderate
Other,0.8035,0,0,46,Moderate
Road,0.8183,0,0,44,High
Electricity,0.8389,0,0,32,High
Garbage,0.9296,0,0,53,Moderate
Other,0.8141,0,0,18,Moderate
Water,0.8232,0,0,38,High
Other,0.7204,0,0,31,Moderate
Electricity,0.8662,1,0,41,High
Road,0.6476,0,1,47,High
Other,0.5878,1,0,24,Low
Electricity,0.7697,0,0,38,Moderate
Electricity,0.7654,0,0,31,Moderate
Garbage,0.9152,0,0,36,Moderate
Road,0.9123,0,1,48,High
Road,0.9032,0,1,40,High
Road,0.6694,1,0,30,Moderate
Garbage,0.9814,1,0,40,Moderate
Garbage,0.9833,0,0,32,Moderate
Electricity,0.8621,0,0,37,High
Water,0.9836,0,0,34,High
Road,0.6829,0,0,31,Moderate
Garbage,0.507,0,0,38,Low
Road,0.7274,0,1,42,High
Water,0.8362,0,0,33,High
Road,0.9112,0,0,30,High
Other,0.5542,0,0,34,Low
Water,0.5125,0,0,46,Low
Road,0.7807,0,0,33,Moderate
Electricity,0.6107,1,1,42,High
Other,0.9119,0,0,37,Moderate
Water,0.6511,0,0,38,Moderate
Other,0.5699,0,0,38,Low
Water,0.6522,0,0,35,Moderate
Garbage,0.5486,0,0,33,Low
Other,0.5678,0,0,39,Low
Other,0.8352,0,0,24,Moderate
Garbage,0.973,0,0,46,Moderate
Water,0.8711,0,1,42,High
Water,0.7074,1,1,33,High
Garbage,0.7447,0,0,45,Moderate
Other,0.9758,1,0,24,Moderate
Other,0.6853,0,0,35,Moderate
Garbage,0.9753,0,1,36,High
