text,category
Water supply not working at roundabout,Water
Tree accumulating near petrol pump,Other
worn out electric transformer,Electricity
Improper waste disposal beside the mosque,Garbage
Improper waste disposal at roundabout,Garbage
Drain damaged near shopping mall,Water
Street light damaged near bus depot,Electricity
Street surface Collapsed near petrol pump,Road
Public park overflowing,Other
Railing worn out near the market,Other
Transformer not working on ring road,Electricity
Dangerous fault near bus depot,Road
Dangerous problem near the market,Road
Highway deteriorated at the junction,Road
Walkway severely damaged near petrol pump,Other
Dangerous fault beside the stadium,Road
Stray animals causing blocked,Other
Electric pole in bad shape beside the bridge,Electricity
Information board broken near cinema hall,Other
Water pipe flooding beside the mosque,Water
main road needs immediate repair,Road
Electric pole deteriorated beside the stadium,Electricity
Trash dumped from waste bin,Garbage
Critical water overflowing near parking lot,Water
Constant power out of order on bypass road,Electricity
deteriorated drainage system beside the stadium,Water
Voltage out of order at roundabout,Electricity
Improper waste disposal near metro station,Garbage
Wide garbage pile near the school,Garbage
Street scattered with litter at roundabout,Garbage
Water seepage on service road,Water
Street surface Damaged near the market,Road
Construction fault near bus depot,Other
No power supply near shopping mall,Electricity
Water tank overflowing beside the stadium,Water
collection point collapsed and accumulating,Garbage
Uneven road causing accidents beside the mosque,Road
Stray animals causing out of order,Other
Electric line out of order on service road,Electricity
Waste heap producing bad smell beside the bridge,Garbage
Cable hanging dangerously in industrial area,Electricity
Drainage collapsed near government office,Water
Big pothole near metro station,Road
Uncollected trash at roundabout,Garbage
Barrier damaged near railway station,Other
Rubbish abandoned near cinema hall,Garbage
Information board damaged near metro station,Other
Rubbish piling up beside the canal,Garbage
Major electric wire hanging dangerously,Electricity
Voltage malfunctioning near the bus stop,Electricity
Pedestrian bridge worn out near parking lot,Other
Drain deteriorated near apartment complex,Water
Streetlight malfunctioning beside the bridge,Electricity
Asphalt damage near the park,Road
Public playground piling up,Other
Noise not working from construction site,Other
broken in near apartment complex,Other
Street light not working beside the church,Electricity
Garbage problem in front of hospital,Garbage
Tree piling up near parking lot,Other
Road deteriorated on bypass road,Road
Power blocked near railway crossing,Electricity
Flood water piling up near office building,Water
Water dripping from supply line,Water
Collapsed pavement beside the temple,Road
Wide pothole beside the river,Road
Industrial waste defect in colony,Garbage
out of order from wire,Electricity
Noise failed from construction site,Other
No power supply near parking lot,Electricity
Stray dogs causing malfunctioning,Other
Warning sign cracked in front of hospital,Other
Sewage out of order in residential area,Water
Water seepage near shopping mall,Water
Transformer damaged on highway,Electricity
Excessive water flooding beside the church,Water
Bad road condition near railway station,Road
Electric line damaged at the junction,Electricity
Multiple potholes on bypass road,Road
Wide garbage pile near the park,Garbage
dumpster damaged and accumulating,Garbage
Waste damage beside the temple,Garbage
Power not working in colony,Electricity
Dangerous problem in residential area,Road
Public bus shelter abandoned,Other
Gate in bad shape at roundabout,Other
Garbage problem beside the church,Garbage
Road broken near petrol pump,Road
Garbage bags lying around in industrial area,Garbage
Drain cracked in residential area,Water
Waste heap producing bad smell beside the mosque,Garbage
Waste defect in residential area,Garbage
Asphalt damage on ring road,Road
Asphalt fault at the junction,Road
Public playground accumulating,Other
Traffic problem due to bad road in residential area,Road
Road broken at the junction,Road
Water supply malfunctioning on bypass road,Water
Electric pole causing danger on highway,Electricity
Transformer failed on main road,Electricity
No power supply beside the lake,Electricity
Waste problem near the market,Garbage
Waste dumped on bypass road,Garbage
Noise blocked from construction site,Other
Drainage damaged beside the canal,Water
Transformer broken near government office,Electricity
Street scattered with litter near metro station,Garbage
malfunctioning in near the market,Other
residential street needs immediate repair,Road
dumpster broken and overflowing,Garbage
Streetlights cracked near the park,Electricity
Power out of order on ring road,Electricity
Street accumulating with litter beside the church,Garbage
Tree lying around near railway station,Other
Urgent electric wire hanging dangerously,Electricity
Sewage out of order in colony,Water
Tree accumulating near police station,Other
Dangerous defect beside the lake,Road
ring road out of order in industrial area,Road
Garbage problem beside the lake,Garbage
Streetlight damaged at roundabout,Electricity
Manhole bursting with water,Water
Continuous water leaking near metro station,Water
Highway collapsed beside the temple,Road
main road needs emergency repair,Road
Footpath defect beside the stadium,Other
Water seeping from overhead tank,Water
Drainage deteriorated in industrial area,Water
Electric pole causing danger near government office,Electricity
Gate worn out near cinema hall,Other
Improper waste disposal in commercial area,Garbage
Waste heap producing bad smell on main road,Garbage
Water tank seeping on bypass road,Water
Water seepage near railway crossing,Water
Staircase severely damaged near shopping mall,Other
malfunctioning in beside the mosque,Other
Trash piling up from dumpster,Garbage
Bad road condition beside the canal,Road
Improper waste disposal on main road,Garbage
Power out of order beside the canal,Electricity
waste bin damaged and accumulating,Garbage
Footpath fault at main entrance,Other
Road worn out near railway station,Road
Broken vehicle accumulating beside the church,Other
Illegal parking on service road,Other
Voltage broken in industrial area,Electricity
Waste issue at traffic signal,Garbage
Waste issue on bypass road,Garbage
Garbage truck malfunctioning beside the temple,Garbage
Critical road condition near parking lot,Road
Water bursting from overhead tank,Water
Sewage causing flooding at roundabout,Water
Electric pole in bad shape at the junction,Electricity
Sewage causing flooding on highway,Water
Garbage damage beside the mosque,Garbage
Asphalt defect beside the canal,Road
Excessive water flooding near the market,Water
Electric line not working near the park,Electricity
Sewage causing flooding near police station,Water
Electric line broken beside the river,Electricity
Street light not working in commercial area,Electricity
Garbage problem beside the mosque,Garbage
Uncollected trash in front of hospital,Garbage
Transformer out of order in industrial area,Electricity
Severe electric wire hanging dangerously,Electricity
Manhole seeping with water,Water
Urgent water scattered near railway station,Water
No power supply beside the mosque,Electricity
Power broken in residential area,Electricity
damaged in in front of hospital,Other
Uneven road causing accidents near government office,Road
Ongoing power damaged beside the mosque,Electricity
Bad electric wire hanging dangerously,Electricity
Manhole dripping with water,Water
Pipe failed at traffic signal,Water
Streetlights broken near railway station,Electricity
Voltage malfunctioning beside the temple,Electricity
Illegal parking at the junction,Other
Noise broken from construction site,Other
Warning sign collapsed in residential area,Other
Road depression near the school,Road
collection point in bad shape and lying around,Garbage
Asphalt defect near railway station,Road
Water pipe leaking on bypass road,Water
Street light malfunctioning on ring road,Electricity
worn out drainage system beside the bridge,Water
waste bin broken and lying around,Garbage
Major crack on highway,Road
Water tank flooding near railway crossing,Water
Huge garbage pile in industrial area,Garbage
Garbage bags scattered beside the bridge,Garbage
Broken vehicle dumped near railway station,Other
Water leaking from overhead tank,Water
Highway collapsed near office building,Road
Garbage damage in residential area,Garbage
Rubbish accumulating in residential area,Garbage
not working from transformer,Electricity
Dangerous water accumulating in colony,Water
Garbage truck failed near the school,Garbage
Highway damaged near community center,Road
Power not working near the park,Electricity
garbage bin cracked near bus depot,Garbage
Cattle causing failed,Other
Public waiting area severely damaged,Other
Water supply not working near petrol pump,Water
not working in on highway,Other
Old car dumped near the park,Other
Garbage truck broken in industrial area,Garbage
Major crack on bypass road,Road
Heavy water flooding at roundabout,Water
Road depression beside the bridge,Road
in bad shape electric junction box,Electricity
No power supply beside the canal,Electricity
Uneven road causing accidents beside the lake,Road
Information board worn out near cinema hall,Other
Road cracked near the market,Road
Improper waste disposal near parking lot,Garbage
Sewage causing flooding near office building,Water
Waste heap producing bad smell in commercial area,Garbage
broken electric connection,Electricity
Trash accumulating from dustbin,Garbage
Street surface Cracked near police station,Road
Streetlights in bad shape near office building,Electricity
Pipe malfunctioning near government office,Water
Terrible road condition on highway,Road
Name board deteriorated at main entrance,Other
Plastic waste defect beside the temple,Garbage
Scrap vehicle overflowing near petrol pump,Other
Public playground lying around,Other
Streetlights damaged in industrial area,Electricity
Road depression near community center,Road
Uncollected trash near police station,Garbage
Massive pothole near metro station,Road
Fence deteriorated near community center,Other
Tree scattered at roundabout,Other
Waste issue near the school,Garbage
Walkway collapsed near shopping mall,Other
Public waiting area scattered,Other
Water pipe overflowing at main entrance,Water
Garbage truck broken near metro station,Garbage
Footpath defect in front of hospital,Other
Large garbage pile near office building,Garbage
Improper waste disposal beside the garden,Garbage
worn out electric pole,Electricity
Waste damage on ring road,Garbage
Streetlights damaged on bypass road,Electricity
Tree piling up on main road,Other
Streetlights in bad shape near cinema hall,Electricity
Street light broken near the school,Electricity
Streetlight broken near the school,Electricity
Massive garbage pile in colony,Garbage
bypass road not working near government office,Road
Playground breakdown at traffic signal,Other
out of order in beside the mosque,Other
Trash piling up from dustbin,Garbage
bypass road needs emergency repair,Road
Garbage breakdown near police station,Garbage
Street surface Cracked near office building,Road
Traffic breakdown due to bad road near the school,Road
Electric pole deteriorated beside the lake,Electricity
Continuous power failed near parking lot,Electricity
Serious road condition beside the temple,Road
Pipe broken near metro station,Water
Water seepage near parking lot,Water
ring road malfunctioning near apartment complex,Road
Road in bad shape near office building,Road
Waste scattered near police station,Garbage
No power supply near apartment complex,Electricity
deteriorated drainage system beside the temple,Water
Trash dumped from trash can,Garbage
Electric pole causing danger beside the stadium,Electricity
Major crack on street,Road
Frequent power malfunctioning near railway station,Electricity
dustbin in bad shape and accumulating,Garbage
trash can worn out near petrol pump,Garbage
Uneven road causing accidents near the school,Road
Massive pothole near the bus stop,Road
Water seepage at main entrance,Water
Park bench deteriorated near cinema hall,Other
Road collapsed near shopping mall,Road
service road not working near community center,Road
Transformer out of order near the bus stop,Electricity
Rubbish dumped near cinema hall,Garbage
Major water piling up near police station,Water
Dangerous road condition near apartment complex,Road
Drainage broken near the school,Water
Garbage issue beside the temple,Garbage
Manhole overflowing with water,Water
Flood water scattered on highway,Water
Waste heap producing bad smell beside the church,Garbage
Multiple potholes on ring road,Road
Broken vehicle scattered at roundabout,Other
Flood water piling up beside the temple,Water
Electric pole causing danger near the school,Electricity
Public playground cracked,Other
residential street failed beside the church,Road
No power supply on ring road,Electricity
Public toilet overflowing,Other
Constant power malfunctioning beside the bridge,Electricity
Garbage bags lying around on service road,Garbage
Direction board worn out on ring road,Other
Street light malfunctioning near shopping mall,Electricity
Water pipe flooding near bus depot,Water
Water seepage beside the temple,Water
Power broken at roundabout,Electricity
Traffic fault due to bad road at roundabout,Road
Severe water leaking near petrol pump,Water
Water tank seeping on highway,Water
Water supply malfunctioning near metro station,Water
Water seepage beside the stadium,Water
Waste defect near apartment complex,Garbage
Pipe damaged in front of hospital,Water
garbage bin damaged in front of hospital,Garbage
Transformer malfunctioning near shopping mall,Electricity
Household waste fault on ring road,Garbage
Water pipe leaking beside the lake,Water
Water supply damaged on service road,Water
Major water piling up at main entrance,Water
Street overflowing with litter near the school,Garbage
Trash lying around from collection point,Garbage
Flood water accumulating at traffic signal,Water
Sewage causing flooding at main entrance,Water
Severe crack on residential street,Road
Multiple potholes on residential street,Road
Wall breakdown near shopping mall,Other
Playground damage near the market,Other
trash can worn out and overflowing,Garbage
Waste left unattended near government office,Garbage
Illegal parking near police station,Other
Power malfunctioning beside the temple,Electricity
Flood water accumulating near cinema hall,Water
Street light damaged at roundabout,Electricity
Power malfunctioning at the junction,Electricity
Pipe out of order near parking lot,Water
malfunctioning in near police station,Other
ring road needs urgent repair,Road
Street surface Sunken near the school,Road
Garbage bags accumulating near parking lot,Garbage
Major water overflowing near office building,Water
Water tank seeping near police station,Water
Footpath fault beside the church,Other
Scrap vehicle lying around on bypass road,Other
Damaged pavement beside the stadium,Road
dustbin in bad shape and dumped,Garbage
Pipe blocked in colony,Water
Uncollected trash near government office,Garbage
Staircase severely damaged beside the temple,Other
Drainage deteriorated at roundabout,Water
Street surface Collapsed beside the bridge,Road
Sewage blocked near community center,Water
Streetlights damaged at roundabout,Electricity
waste bin worn out and dumped,Garbage
Garbage truck not working beside the mosque,Garbage
Serious electric wire hanging dangerously,Electricity
Wall damage near metro station,Other
Sewage causing flooding on bypass road,Water
Water seepage in industrial area,Water
Playground issue at the junction,Other
Improper waste disposal near the market,Garbage
broken drainage system beside the mosque,Water
Street light malfunctioning in front of hospital,Electricity
Sewage causing flooding in commercial area,Water
Electric pole broken near the park,Electricity
No power supply in commercial area,Electricity
Broken pavement on main road,Road
Water dripping from water tank,Water
Public waiting area broken,Other
Traffic defect due to bad road in industrial area,Road
Direction board damaged in industrial area,Other
Playground defect near railway crossing,Other
Critical crack on city road,Road
failed in near government office,Other
Flood water piling up beside the mosque,Water
Water pipe leaking at main entrance,Water
Road depression beside the stadium,Road
Footpath problem beside the stadium,Other
Cable hanging dangerously on service road,Electricity
Water seepage beside the river,Water
Giant pothole beside the temple,Road
service road needs emergency repair,Road
out of order in near cinema hall,Other
Staircase deteriorated at traffic signal,Other
Excessive water dripping beside the stadium,Water
Streetlights damaged near office building,Electricity
Severe water flooding on highway,Water
collapsed drainage system at main entrance,Water
Rubbish accumulating in colony,Garbage
Road depression near apartment complex,Road
Street surface Broken near metro station,Road
Dangerous breakdown beside the mosque,Road
Garbage truck not working at the junction,Garbage
Improper waste disposal on ring road,Garbage
Tree piling up near the bus stop,Other
Street surface Cracked near cinema hall,Road
Direction board severely damaged beside the garden,Other
Power blocked at main entrance,Electricity
Sewage causing flooding beside the river,Water
Food waste issue in commercial area,Garbage
No power supply beside the church,Electricity
Voltage not working near community center,Electricity
Gate worn out near petrol pump,Other
Garbage truck not working near parking lot,Garbage
Drain in bad shape in front of hospital,Water
deteriorated electric cable,Electricity
worn out electric junction box,Electricity
Urgent road condition at the junction,Road
Cable hanging dangerously near railway station,Electricity
Drainage in bad shape near the school,Water
Construction breakdown near railway crossing,Other
residential street damaged near bus depot,Road
damaged electric connection,Electricity
Playground fault at main entrance,Other
Waste scattered beside the mosque,Garbage
Large pothole in residential area,Road
Barrier collapsed near metro station,Other
Sewage causing flooding near community center,Water
Streetlights in bad shape on highway,Electricity
Water dripping from main pipeline,Water
Garbage breakdown near the park,Garbage
Dangerous issue on main road,Road
Waste damage at traffic signal,Garbage
Stray dogs causing out of order,Other
Public seating severely damaged in residential area,Other
Constant power out of order near community center,Electricity
Public park abandoned,Other
Collapsed pavement in front of hospital,Road
Regular power blocked near office building,Electricity
Drain severely damaged on highway,Water
Transformer broken beside the canal,Electricity
Name board in bad shape near railway station,Other
Old car accumulating near the park,Other
Highway cracked on ring road,Road
waste bin worn out and accumulating,Garbage
Terrible road condition on ring road,Road
Wide pothole in front of hospital,Road
Uneven road causing accidents near railway crossing,Road
Public waiting area damaged,Other
main road failed near railway station,Road
Water overflowing from overhead tank,Water
cracked electric junction box,Electricity
residential street broken beside the temple,Road
Illegal parking near apartment complex,Other
Power not working near railway crossing,Electricity
severely damaged drainage system near office building,Water
Highway in bad shape beside the lake,Road
Uneven pavement beside the lake,Road
Waste dumped on highway,Garbage
Road depression near railway station,Road
Severe water flooding beside the river,Water
Wall problem near the park,Other
Voltage damaged near railway crossing,Electricity
Multiple potholes on city road,Road
Electric pole causing danger near apartment complex,Electricity
waste bin severely damaged and abandoned,Garbage
Old car dumped on bypass road,Other
Terrible water scattered near apartment complex,Water
Transformer out of order at the junction,Electricity
Foot overbridge deteriorated beside the bridge,Other
Traffic defect due to bad road at roundabout,Road
Electric line damaged on highway,Electricity
Waste heap producing bad smell near government office,Garbage
Public park dumped,Other
Severe water piling up near the school,Water
Illegal parking beside the lake,Other
Electric pole worn out in industrial area,Electricity
Uneven road causing accidents beside the temple,Road
Pigs causing not working,Other
Street light blocked near the bus stop,Electricity
Power failed near metro station,Electricity
Rubbish overflowing near parking lot,Garbage
Uneven road causing accidents in commercial area,Road
residential street needs critical repair,Road
Road depression near bus depot,Road
Garbage truck not working on bypass road,Garbage
Trash overflowing from waste bin,Garbage
Streetlights cracked beside the canal,Electricity
Water seepage in front of hospital,Water
Broken pavement beside the lake,Road
Garbage bags scattered at the junction,Garbage
Dangerous road condition beside the bridge,Road
Water overflowing from water tank,Water
Multiple potholes on main road,Road
Street sign damaged on bypass road,Other
Serious water lying around in residential area,Water
Highway worn out near parking lot,Road
Cable hanging dangerously near petrol pump,Electricity
Construction defect beside the temple,Other
Water supply out of order on ring road,Water
Staircase cracked in front of hospital,Other
Sewage blocked in front of hospital,Water
Uncollected trash at the junction,Garbage
Construction problem near shopping mall,Other
Public playground dumped,Other
Improper waste disposal near government office,Garbage
Water tank bursting near apartment complex,Water
Water bursting from main pipeline,Water
waste bin severely damaged beside the stadium,Garbage
blocked in near the park,Other
Old car overflowing near the market,Other
waste bin collapsed and lying around,Garbage
